model,accuracy,precision,recall,f1,auroc,pixel_auroc,selection_score
autoencoder,0.43153938208155074,0.8217320261437907,0.25111135018588115,0.36868621008523905,0.5990668494173073,0.7019443788434296,0.5504383252072452
patchcore,0.8744076539257263,0.9441345612894222,0.8760985036066081,0.9041376364847326,0.9673324672684585,0.9598201866570948,0.9403632080854128
