category,model,accuracy,f1,auroc,selection_score,ae_final_epoch,ae_best_epoch,ae_best_val_loss,ae_early_stopped,ae_history_png
bottle,autoencoder,0.5542168674698795,0.6021505376344086,0.6523809523809524,0.645163700501662,34.0,30.0,0.0074469580825778,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/bottle/autoencoder_loss.png
cable,autoencoder,0.3933333333333333,0.0618556701030927,0.4520239880059969,0.363813886024078,66.0,62.0,0.0188785428729127,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/cable/autoencoder_loss.png
capsule,autoencoder,0.25,0.208,0.5073793378540088,0.4735560249805263,23.0,19.0,0.0053114907279836,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/capsule/autoencoder_loss.png
carpet,autoencoder,0.3247863247863248,0.3577235772357723,0.3747993579454253,0.4165242059303907,48.0,44.0,0.0194623518202986,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/carpet/autoencoder_loss.png
grid,autoencoder,0.4487179487179487,0.4109589041095891,0.7460317460317462,0.6223604822192863,49.0,45.0,0.0128789788112044,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/grid/autoencoder_loss.png
hazelnut,autoencoder,0.6181818181818182,0.5714285714285715,0.8617857142857143,0.7812116515875279,28.0,24.0,0.003856279832011,True,/content/drive/MyDrive/DefectVision-AD/outputs/multi_category_results/training_history/mvtec/hazelnut/autoencoder_loss.png
