category,accuracy,f1,auroc,selection_score
bottle,0.7530120481927711,0.7856906534325889,0.8261904761904761,0.8135529033858718
cable,0.6133333333333333,0.457828419846868,0.6819715142428785,0.6232123862797261
capsule,0.5189393939393939,0.5310833333333334,0.7225767850019944,0.6906607583418236
carpet,0.623931623931624,0.6545374642935617,0.683788121990369,0.6943189432800154
grid,0.6858974358974359,0.6796173830892772,0.868421052631579,0.797196581872176
hazelnut,0.7227272727272727,0.7097142857142857,0.91625,0.8534630267183612
